Employee,Training,CompletionDate,ExpirationDate,Status,CertificateLink,Notes
EMP0003,BOZP – vstupné školenie,2024-10-25,2026-10-25,Valid,/sites/HRHub/Certificates/EMP0003_BOZP_-_vstupne_skolenie.pdf,
EMP0003,Ochrana pred požiarmi,2025-09-01,2027-09-01,Valid,/sites/HRHub/Certificates/EMP0003_Ochrana_pred_poziarmi.pdf,
EMP0003,GDPR a ochrana osobných údajov,2025-07-03,2026-07-03,Expiring,/sites/HRHub/Certificates/EMP0003_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0003,Kybernetická bezpečnosť,2025-06-19,2026-06-19,Expiring,/sites/HRHub/Certificates/EMP0003_Kyberneticka_bezpecnost.pdf,
EMP0003,Etický kódex a compliance,2024-08-04,2026-08-04,Valid,/sites/HRHub/Certificates/EMP0003_Eticky_kodex_a_compliance.pdf,
EMP0003,Excel pre pokročilých,2025-06-22,,Valid,/sites/HRHub/Certificates/EMP0003_Excel_pre_pokrocilych.pdf,
EMP0003,Power BI základy,2026-02-26,,Valid,/sites/HRHub/Certificates/EMP0003_Power_BI_zaklady.pdf,
EMP0003,Prezentačné zručnosti,2026-04-04,,Valid,/sites/HRHub/Certificates/EMP0003_Prezentacne_zrucnosti.pdf,
EMP0004,BOZP – vstupné školenie,2024-12-24,2026-12-24,Valid,/sites/HRHub/Certificates/EMP0004_BOZP_-_vstupne_skolenie.pdf,
EMP0004,Ochrana pred požiarmi,2024-07-10,2026-07-10,Expiring,/sites/HRHub/Certificates/EMP0004_Ochrana_pred_poziarmi.pdf,
EMP0004,GDPR a ochrana osobných údajov,2025-06-13,2026-06-13,Expiring,/sites/HRHub/Certificates/EMP0004_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0004,Kybernetická bezpečnosť,2025-11-18,2026-11-18,Valid,/sites/HRHub/Certificates/EMP0004_Kyberneticka_bezpecnost.pdf,
EMP0004,Etický kódex a compliance,2024-06-25,2026-06-25,Expiring,/sites/HRHub/Certificates/EMP0004_Eticky_kodex_a_compliance.pdf,
EMP0004,Vodič referentského vozidla,2025-07-21,2027-07-21,Valid,/sites/HRHub/Certificates/EMP0004_Vodic_referentskeho_vozidla.pdf,
EMP0004,Prezentačné zručnosti,2024-07-11,,Valid,/sites/HRHub/Certificates/EMP0004_Prezentacne_zrucnosti.pdf,
EMP0005,BOZP – vstupné školenie,2024-11-05,2026-11-05,Valid,/sites/HRHub/Certificates/EMP0005_BOZP_-_vstupne_skolenie.pdf,
EMP0005,Ochrana pred požiarmi,2024-07-02,2026-07-02,Expiring,/sites/HRHub/Certificates/EMP0005_Ochrana_pred_poziarmi.pdf,
EMP0005,GDPR a ochrana osobných údajov,2025-04-27,2026-04-27,Expired,/sites/HRHub/Certificates/EMP0005_GDPR_a_ochrana_osobnych_udajov.pdf,Potrebné obnoviť školenie.
EMP0005,Kybernetická bezpečnosť,2025-07-09,2026-07-09,Expiring,/sites/HRHub/Certificates/EMP0005_Kyberneticka_bezpecnost.pdf,
EMP0005,Etický kódex a compliance,2024-01-11,2026-01-11,Expired,/sites/HRHub/Certificates/EMP0005_Eticky_kodex_a_compliance.pdf,Potrebné obnoviť školenie.
EMP0005,Prezentačné zručnosti,2025-07-27,,Valid,/sites/HRHub/Certificates/EMP0005_Prezentacne_zrucnosti.pdf,
EMP0006,BOZP – vstupné školenie,2025-10-30,2027-10-30,Valid,/sites/HRHub/Certificates/EMP0006_BOZP_-_vstupne_skolenie.pdf,
EMP0006,Ochrana pred požiarmi,2025-08-29,2027-08-29,Valid,/sites/HRHub/Certificates/EMP0006_Ochrana_pred_poziarmi.pdf,
EMP0006,GDPR a ochrana osobných údajov,2026-01-18,2027-01-18,Valid,/sites/HRHub/Certificates/EMP0006_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0006,Kybernetická bezpečnosť,2026-04-30,2027-04-30,Valid,/sites/HRHub/Certificates/EMP0006_Kyberneticka_bezpecnost.pdf,
EMP0006,Etický kódex a compliance,2024-02-13,2026-02-13,Expired,/sites/HRHub/Certificates/EMP0006_Eticky_kodex_a_compliance.pdf,Potrebné obnoviť školenie.
EMP0006,Práca vo výškach,2026-05-04,2027-05-04,Valid,/sites/HRHub/Certificates/EMP0006_Praca_vo_vyskach.pdf,
EMP0006,Obsluha VZV (vysokozdvižný vozík),2026-07-03,,Planned,,Naplánovaný termín cez HR.
EMP0006,Prvá pomoc na pracovisku,2025-08-31,2027-08-31,Valid,/sites/HRHub/Certificates/EMP0006_Prva_pomoc_na_pracovisku.pdf,
EMP0006,Anglický jazyk B2 – konverzácie,2025-08-02,,Valid,/sites/HRHub/Certificates/EMP0006_Anglicky_jazyk_B2_-_konverzacie.pdf,
EMP0007,BOZP – vstupné školenie,2024-10-29,2026-10-29,Valid,/sites/HRHub/Certificates/EMP0007_BOZP_-_vstupne_skolenie.pdf,
EMP0007,Ochrana pred požiarmi,2026-06-26,,Planned,,Naplánovaný termín cez HR.
EMP0007,GDPR a ochrana osobných údajov,2026-03-11,2027-03-11,Valid,/sites/HRHub/Certificates/EMP0007_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0007,Kybernetická bezpečnosť,2025-11-18,2026-11-18,Valid,/sites/HRHub/Certificates/EMP0007_Kyberneticka_bezpecnost.pdf,
EMP0007,Etický kódex a compliance,2025-12-26,2027-12-26,Valid,/sites/HRHub/Certificates/EMP0007_Eticky_kodex_a_compliance.pdf,
EMP0007,ISO 9001 interný audítor,2026-03-02,2029-03-02,Valid,/sites/HRHub/Certificates/EMP0007_ISO_9001_interny_auditor.pdf,
EMP0007,Prvá pomoc na pracovisku,2024-07-09,2026-07-09,Expiring,/sites/HRHub/Certificates/EMP0007_Prva_pomoc_na_pracovisku.pdf,
EMP0008,BOZP – vstupné školenie,2026-04-16,2028-04-16,Valid,/sites/HRHub/Certificates/EMP0008_BOZP_-_vstupne_skolenie.pdf,
EMP0008,Ochrana pred požiarmi,2025-10-23,2027-10-23,Valid,/sites/HRHub/Certificates/EMP0008_Ochrana_pred_poziarmi.pdf,
EMP0008,GDPR a ochrana osobných údajov,2026-04-04,2027-04-04,Valid,/sites/HRHub/Certificates/EMP0008_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0008,Kybernetická bezpečnosť,2025-08-13,2026-08-13,Valid,/sites/HRHub/Certificates/EMP0008_Kyberneticka_bezpecnost.pdf,
EMP0008,Etický kódex a compliance,2025-04-05,2027-04-05,Valid,/sites/HRHub/Certificates/EMP0008_Eticky_kodex_a_compliance.pdf,
EMP0009,Ochrana pred požiarmi,2024-01-29,2026-01-29,Expired,/sites/HRHub/Certificates/EMP0009_Ochrana_pred_poziarmi.pdf,
EMP0009,Etický kódex a compliance,2024-01-22,2026-01-22,Expired,/sites/HRHub/Certificates/EMP0009_Eticky_kodex_a_compliance.pdf,
EMP0010,BOZP – vstupné školenie,2026-05-01,2028-05-01,Valid,/sites/HRHub/Certificates/EMP0010_BOZP_-_vstupne_skolenie.pdf,
EMP0010,Ochrana pred požiarmi,2024-03-07,2026-03-07,Expired,/sites/HRHub/Certificates/EMP0010_Ochrana_pred_poziarmi.pdf,Potrebné obnoviť školenie.
EMP0010,GDPR a ochrana osobných údajov,2025-10-28,2026-10-28,Valid,/sites/HRHub/Certificates/EMP0010_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0010,Kybernetická bezpečnosť,2026-01-19,2027-01-19,Valid,/sites/HRHub/Certificates/EMP0010_Kyberneticka_bezpecnost.pdf,
EMP0010,Etický kódex a compliance,2024-07-06,2026-07-06,Expiring,/sites/HRHub/Certificates/EMP0010_Eticky_kodex_a_compliance.pdf,
EMP0010,Prvá pomoc na pracovisku,2025-04-30,2027-04-30,Valid,/sites/HRHub/Certificates/EMP0010_Prva_pomoc_na_pracovisku.pdf,
EMP0010,Excel pre pokročilých,2025-01-15,,Valid,/sites/HRHub/Certificates/EMP0010_Excel_pre_pokrocilych.pdf,
EMP0010,Prezentačné zručnosti,2025-11-13,,Valid,/sites/HRHub/Certificates/EMP0010_Prezentacne_zrucnosti.pdf,
EMP0011,BOZP – vstupné školenie,2024-07-06,2026-07-06,Expiring,/sites/HRHub/Certificates/EMP0011_BOZP_-_vstupne_skolenie.pdf,
EMP0011,Ochrana pred požiarmi,2025-10-10,2027-10-10,Valid,/sites/HRHub/Certificates/EMP0011_Ochrana_pred_poziarmi.pdf,
EMP0011,GDPR a ochrana osobných údajov,2026-07-11,,Planned,,Naplánovaný termín cez HR.
EMP0011,Kybernetická bezpečnosť,2026-01-04,2027-01-04,Valid,/sites/HRHub/Certificates/EMP0011_Kyberneticka_bezpecnost.pdf,
EMP0011,Etický kódex a compliance,2025-08-14,2027-08-14,Valid,/sites/HRHub/Certificates/EMP0011_Eticky_kodex_a_compliance.pdf,
EMP0011,Prvá pomoc na pracovisku,2024-12-21,2026-12-21,Valid,/sites/HRHub/Certificates/EMP0011_Prva_pomoc_na_pracovisku.pdf,
EMP0011,Excel pre pokročilých,2024-11-08,,Valid,/sites/HRHub/Certificates/EMP0011_Excel_pre_pokrocilych.pdf,
EMP0011,Power BI základy,2026-03-13,,Valid,/sites/HRHub/Certificates/EMP0011_Power_BI_zaklady.pdf,
EMP0012,BOZP – vstupné školenie,2025-09-01,2027-09-01,Valid,/sites/HRHub/Certificates/EMP0012_BOZP_-_vstupne_skolenie.pdf,
EMP0012,Ochrana pred požiarmi,2024-03-25,2026-03-25,Expired,/sites/HRHub/Certificates/EMP0012_Ochrana_pred_poziarmi.pdf,Potrebné obnoviť školenie.
EMP0012,GDPR a ochrana osobných údajov,2026-09-01,,Planned,,Naplánovaný termín cez HR.
EMP0012,Kybernetická bezpečnosť,2025-12-17,2026-12-17,Valid,/sites/HRHub/Certificates/EMP0012_Kyberneticka_bezpecnost.pdf,
EMP0012,Etický kódex a compliance,2024-12-19,2026-12-19,Valid,/sites/HRHub/Certificates/EMP0012_Eticky_kodex_a_compliance.pdf,
EMP0012,Scrum Master I (PSM I),2024-09-28,,Valid,/sites/HRHub/Certificates/EMP0012_Scrum_Master_I_(PSM_I).pdf,
EMP0012,Microsoft Azure Fundamentals (AZ-900),2026-03-27,,Valid,/sites/HRHub/Certificates/EMP0012_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0013,BOZP – vstupné školenie,2026-08-24,,Planned,,Naplánovaný termín cez HR.
EMP0013,Ochrana pred požiarmi,2025-11-06,2027-11-06,Valid,/sites/HRHub/Certificates/EMP0013_Ochrana_pred_poziarmi.pdf,
EMP0013,GDPR a ochrana osobných údajov,2026-04-21,2027-04-21,Valid,/sites/HRHub/Certificates/EMP0013_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0013,Kybernetická bezpečnosť,2025-12-08,2026-12-08,Valid,/sites/HRHub/Certificates/EMP0013_Kyberneticka_bezpecnost.pdf,
EMP0013,Etický kódex a compliance,2026-01-19,2028-01-19,Valid,/sites/HRHub/Certificates/EMP0013_Eticky_kodex_a_compliance.pdf,
EMP0013,Scrum Master I (PSM I),2025-07-08,,Valid,/sites/HRHub/Certificates/EMP0013_Scrum_Master_I_(PSM_I).pdf,
EMP0013,Microsoft Azure Fundamentals (AZ-900),2025-03-19,,Valid,/sites/HRHub/Certificates/EMP0013_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0013,Prezentačné zručnosti,2025-08-01,,Valid,/sites/HRHub/Certificates/EMP0013_Prezentacne_zrucnosti.pdf,
EMP0014,BOZP – vstupné školenie,2024-02-14,2026-02-14,Expired,/sites/HRHub/Certificates/EMP0014_BOZP_-_vstupne_skolenie.pdf,Potrebné obnoviť školenie.
EMP0014,Ochrana pred požiarmi,2025-05-03,2027-05-03,Valid,/sites/HRHub/Certificates/EMP0014_Ochrana_pred_poziarmi.pdf,
EMP0014,GDPR a ochrana osobných údajov,2026-02-26,2027-02-26,Valid,/sites/HRHub/Certificates/EMP0014_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0014,Kybernetická bezpečnosť,2025-12-23,2026-12-23,Valid,/sites/HRHub/Certificates/EMP0014_Kyberneticka_bezpecnost.pdf,
EMP0014,Etický kódex a compliance,2026-05-26,2028-05-26,Valid,/sites/HRHub/Certificates/EMP0014_Eticky_kodex_a_compliance.pdf,
EMP0014,Scrum Master I (PSM I),2025-10-08,,Valid,/sites/HRHub/Certificates/EMP0014_Scrum_Master_I_(PSM_I).pdf,
EMP0014,Microsoft Azure Fundamentals (AZ-900),2024-09-25,,Valid,/sites/HRHub/Certificates/EMP0014_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0015,BOZP – vstupné školenie,2024-06-25,2026-06-25,Expiring,/sites/HRHub/Certificates/EMP0015_BOZP_-_vstupne_skolenie.pdf,
EMP0015,Ochrana pred požiarmi,2025-10-20,2027-10-20,Valid,/sites/HRHub/Certificates/EMP0015_Ochrana_pred_poziarmi.pdf,
EMP0015,GDPR a ochrana osobných údajov,2026-03-01,2027-03-01,Valid,/sites/HRHub/Certificates/EMP0015_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0015,Kybernetická bezpečnosť,2026-01-01,2027-01-01,Valid,/sites/HRHub/Certificates/EMP0015_Kyberneticka_bezpecnost.pdf,
EMP0015,Etický kódex a compliance,2024-08-16,2026-08-16,Valid,/sites/HRHub/Certificates/EMP0015_Eticky_kodex_a_compliance.pdf,
EMP0015,Scrum Master I (PSM I),2026-02-05,,Valid,/sites/HRHub/Certificates/EMP0015_Scrum_Master_I_(PSM_I).pdf,
EMP0015,Microsoft Azure Fundamentals (AZ-900),2025-09-13,,Valid,/sites/HRHub/Certificates/EMP0015_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0016,BOZP – vstupné školenie,2024-06-17,2026-06-17,Expiring,/sites/HRHub/Certificates/EMP0016_BOZP_-_vstupne_skolenie.pdf,
EMP0016,Ochrana pred požiarmi,2024-05-20,2026-05-20,Expired,/sites/HRHub/Certificates/EMP0016_Ochrana_pred_poziarmi.pdf,Potrebné obnoviť školenie.
EMP0016,GDPR a ochrana osobných údajov,2025-06-26,2026-06-26,Expiring,/sites/HRHub/Certificates/EMP0016_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0016,Kybernetická bezpečnosť,2026-04-19,2027-04-19,Valid,/sites/HRHub/Certificates/EMP0016_Kyberneticka_bezpecnost.pdf,
EMP0016,Etický kódex a compliance,2024-08-20,2026-08-20,Valid,/sites/HRHub/Certificates/EMP0016_Eticky_kodex_a_compliance.pdf,
EMP0016,Scrum Master I (PSM I),2025-04-13,,Valid,/sites/HRHub/Certificates/EMP0016_Scrum_Master_I_(PSM_I).pdf,
EMP0016,Microsoft Azure Fundamentals (AZ-900),2025-09-04,,Valid,/sites/HRHub/Certificates/EMP0016_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0016,Excel pre pokročilých,2025-02-08,,Valid,/sites/HRHub/Certificates/EMP0016_Excel_pre_pokrocilych.pdf,
EMP0017,BOZP – vstupné školenie,2026-02-06,2028-02-06,Valid,/sites/HRHub/Certificates/EMP0017_BOZP_-_vstupne_skolenie.pdf,
EMP0017,Ochrana pred požiarmi,2025-10-14,2027-10-14,Valid,/sites/HRHub/Certificates/EMP0017_Ochrana_pred_poziarmi.pdf,
EMP0017,GDPR a ochrana osobných údajov,2024-12-04,2025-12-04,Expired,/sites/HRHub/Certificates/EMP0017_GDPR_a_ochrana_osobnych_udajov.pdf,Potrebné obnoviť školenie.
EMP0017,Kybernetická bezpečnosť,2026-05-01,2027-05-01,Valid,/sites/HRHub/Certificates/EMP0017_Kyberneticka_bezpecnost.pdf,
EMP0017,Etický kódex a compliance,2026-01-22,2028-01-22,Valid,/sites/HRHub/Certificates/EMP0017_Eticky_kodex_a_compliance.pdf,
EMP0017,Scrum Master I (PSM I),2025-01-21,,Valid,/sites/HRHub/Certificates/EMP0017_Scrum_Master_I_(PSM_I).pdf,
EMP0017,Microsoft Azure Fundamentals (AZ-900),2024-10-16,,Valid,/sites/HRHub/Certificates/EMP0017_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0018,BOZP – vstupné školenie,2025-02-27,2027-02-27,Valid,/sites/HRHub/Certificates/EMP0018_BOZP_-_vstupne_skolenie.pdf,
EMP0018,Ochrana pred požiarmi,2024-12-26,2026-12-26,Valid,/sites/HRHub/Certificates/EMP0018_Ochrana_pred_poziarmi.pdf,
EMP0018,GDPR a ochrana osobných údajov,2025-08-19,2026-08-19,Valid,/sites/HRHub/Certificates/EMP0018_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0018,Kybernetická bezpečnosť,2026-03-06,2027-03-06,Valid,/sites/HRHub/Certificates/EMP0018_Kyberneticka_bezpecnost.pdf,
EMP0018,Etický kódex a compliance,2025-01-25,2027-01-25,Valid,/sites/HRHub/Certificates/EMP0018_Eticky_kodex_a_compliance.pdf,
EMP0018,Scrum Master I (PSM I),2025-08-31,,Valid,/sites/HRHub/Certificates/EMP0018_Scrum_Master_I_(PSM_I).pdf,
EMP0018,Microsoft Azure Fundamentals (AZ-900),2025-08-01,,Valid,/sites/HRHub/Certificates/EMP0018_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0019,BOZP – vstupné školenie,2024-08-23,2026-08-23,Valid,/sites/HRHub/Certificates/EMP0019_BOZP_-_vstupne_skolenie.pdf,
EMP0019,Ochrana pred požiarmi,2024-06-25,2026-06-25,Expiring,/sites/HRHub/Certificates/EMP0019_Ochrana_pred_poziarmi.pdf,
EMP0019,GDPR a ochrana osobných údajov,2026-07-23,,Planned,,Naplánovaný termín cez HR.
EMP0019,Kybernetická bezpečnosť,2025-06-21,2026-06-21,Expiring,/sites/HRHub/Certificates/EMP0019_Kyberneticka_bezpecnost.pdf,
EMP0019,Etický kódex a compliance,2024-06-28,2026-06-28,Expiring,/sites/HRHub/Certificates/EMP0019_Eticky_kodex_a_compliance.pdf,
EMP0019,Scrum Master I (PSM I),2025-12-08,,Valid,/sites/HRHub/Certificates/EMP0019_Scrum_Master_I_(PSM_I).pdf,
EMP0019,Microsoft Azure Fundamentals (AZ-900),2025-12-06,,Valid,/sites/HRHub/Certificates/EMP0019_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0020,BOZP – vstupné školenie,2026-08-08,,Planned,,Naplánovaný termín cez HR.
EMP0020,Ochrana pred požiarmi,2024-06-25,2026-06-25,Expiring,/sites/HRHub/Certificates/EMP0020_Ochrana_pred_poziarmi.pdf,
EMP0020,GDPR a ochrana osobných údajov,2026-02-10,2027-02-10,Valid,/sites/HRHub/Certificates/EMP0020_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0020,Kybernetická bezpečnosť,2025-11-08,2026-11-08,Valid,/sites/HRHub/Certificates/EMP0020_Kyberneticka_bezpecnost.pdf,
EMP0020,Etický kódex a compliance,2024-10-05,2026-10-05,Valid,/sites/HRHub/Certificates/EMP0020_Eticky_kodex_a_compliance.pdf,
EMP0020,Excel pre pokročilých,2026-04-21,,Valid,/sites/HRHub/Certificates/EMP0020_Excel_pre_pokrocilych.pdf,
EMP0020,Power BI základy,2024-09-29,,Valid,/sites/HRHub/Certificates/EMP0020_Power_BI_zaklady.pdf,
EMP0020,Prezentačné zručnosti,2025-11-12,,Valid,/sites/HRHub/Certificates/EMP0020_Prezentacne_zrucnosti.pdf,
EMP0021,BOZP – vstupné školenie,2026-03-12,2028-03-12,Valid,/sites/HRHub/Certificates/EMP0021_BOZP_-_vstupne_skolenie.pdf,
EMP0021,Ochrana pred požiarmi,2025-12-11,2027-12-11,Valid,/sites/HRHub/Certificates/EMP0021_Ochrana_pred_poziarmi.pdf,
EMP0021,GDPR a ochrana osobných údajov,2025-12-11,2026-12-11,Valid,/sites/HRHub/Certificates/EMP0021_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0021,Kybernetická bezpečnosť,2026-02-03,2027-02-03,Valid,/sites/HRHub/Certificates/EMP0021_Kyberneticka_bezpecnost.pdf,
EMP0021,Etický kódex a compliance,2025-12-11,2027-12-11,Valid,/sites/HRHub/Certificates/EMP0021_Eticky_kodex_a_compliance.pdf,
EMP0021,Excel pre pokročilých,2026-04-12,,Valid,/sites/HRHub/Certificates/EMP0021_Excel_pre_pokrocilych.pdf,
EMP0021,Power BI základy,2025-12-11,,Valid,/sites/HRHub/Certificates/EMP0021_Power_BI_zaklady.pdf,
EMP0022,BOZP – vstupné školenie,2026-01-16,2028-01-16,Valid,/sites/HRHub/Certificates/EMP0022_BOZP_-_vstupne_skolenie.pdf,
EMP0022,Ochrana pred požiarmi,2024-11-26,2026-11-26,Valid,/sites/HRHub/Certificates/EMP0022_Ochrana_pred_poziarmi.pdf,
EMP0022,GDPR a ochrana osobných údajov,2026-08-06,,Planned,,Naplánovaný termín cez HR.
EMP0022,Kybernetická bezpečnosť,2026-05-13,2027-05-13,Valid,/sites/HRHub/Certificates/EMP0022_Kyberneticka_bezpecnost.pdf,
EMP0022,Etický kódex a compliance,2024-02-12,2026-02-12,Expired,/sites/HRHub/Certificates/EMP0022_Eticky_kodex_a_compliance.pdf,Potrebné obnoviť školenie.
EMP0022,Excel pre pokročilých,2025-01-24,,Valid,/sites/HRHub/Certificates/EMP0022_Excel_pre_pokrocilych.pdf,
EMP0022,Power BI základy,2025-08-18,,Valid,/sites/HRHub/Certificates/EMP0022_Power_BI_zaklady.pdf,
EMP0022,Prezentačné zručnosti,2025-09-21,,Valid,/sites/HRHub/Certificates/EMP0022_Prezentacne_zrucnosti.pdf,
EMP0023,BOZP – vstupné školenie,2026-03-12,2028-03-12,Valid,/sites/HRHub/Certificates/EMP0023_BOZP_-_vstupne_skolenie.pdf,
EMP0023,Ochrana pred požiarmi,2025-08-15,2027-08-15,Valid,/sites/HRHub/Certificates/EMP0023_Ochrana_pred_poziarmi.pdf,
EMP0023,GDPR a ochrana osobných údajov,2025-10-23,2026-10-23,Valid,/sites/HRHub/Certificates/EMP0023_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0023,Kybernetická bezpečnosť,2026-03-12,2027-03-12,Valid,/sites/HRHub/Certificates/EMP0023_Kyberneticka_bezpecnost.pdf,
EMP0023,Etický kódex a compliance,2025-07-19,2027-07-19,Valid,/sites/HRHub/Certificates/EMP0023_Eticky_kodex_a_compliance.pdf,
EMP0023,Excel pre pokročilých,2026-07-31,,Planned,,Naplánovaný termín cez HR.
EMP0023,Power BI základy,2026-03-02,,Valid,/sites/HRHub/Certificates/EMP0023_Power_BI_zaklady.pdf,
EMP0024,BOZP – vstupné školenie,2026-04-25,2028-04-25,Valid,/sites/HRHub/Certificates/EMP0024_BOZP_-_vstupne_skolenie.pdf,
EMP0024,Ochrana pred požiarmi,2025-11-03,2027-11-03,Valid,/sites/HRHub/Certificates/EMP0024_Ochrana_pred_poziarmi.pdf,
EMP0024,GDPR a ochrana osobných údajov,2026-03-09,2027-03-09,Valid,/sites/HRHub/Certificates/EMP0024_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0024,Kybernetická bezpečnosť,2025-06-26,2026-06-26,Expiring,/sites/HRHub/Certificates/EMP0024_Kyberneticka_bezpecnost.pdf,
EMP0024,Etický kódex a compliance,2024-10-26,2026-10-26,Valid,/sites/HRHub/Certificates/EMP0024_Eticky_kodex_a_compliance.pdf,
EMP0024,Vodič referentského vozidla,2025-02-04,2027-02-04,Valid,/sites/HRHub/Certificates/EMP0024_Vodic_referentskeho_vozidla.pdf,
EMP0024,Prezentačné zručnosti,2025-04-29,,Valid,/sites/HRHub/Certificates/EMP0024_Prezentacne_zrucnosti.pdf,
EMP0024,Anglický jazyk B2 – konverzácie,2025-04-24,,Valid,/sites/HRHub/Certificates/EMP0024_Anglicky_jazyk_B2_-_konverzacie.pdf,
EMP0025,BOZP – vstupné školenie,2023-11-14,2025-11-14,Expired,/sites/HRHub/Certificates/EMP0025_BOZP_-_vstupne_skolenie.pdf,
EMP0025,Ochrana pred požiarmi,2024-02-26,2026-02-26,Expired,/sites/HRHub/Certificates/EMP0025_Ochrana_pred_poziarmi.pdf,
EMP0026,BOZP – vstupné školenie,2025-07-11,2027-07-11,Valid,/sites/HRHub/Certificates/EMP0026_BOZP_-_vstupne_skolenie.pdf,
EMP0026,Ochrana pred požiarmi,2025-05-07,2027-05-07,Valid,/sites/HRHub/Certificates/EMP0026_Ochrana_pred_poziarmi.pdf,
EMP0026,GDPR a ochrana osobných údajov,2026-02-14,2027-02-14,Valid,/sites/HRHub/Certificates/EMP0026_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0026,Kybernetická bezpečnosť,2026-09-05,,Planned,,Naplánovaný termín cez HR.
EMP0026,Etický kódex a compliance,2024-07-03,2026-07-03,Expiring,/sites/HRHub/Certificates/EMP0026_Eticky_kodex_a_compliance.pdf,
EMP0026,Vodič referentského vozidla,2024-09-19,2026-09-19,Valid,/sites/HRHub/Certificates/EMP0026_Vodic_referentskeho_vozidla.pdf,
EMP0026,Prezentačné zručnosti,2024-10-09,,Valid,/sites/HRHub/Certificates/EMP0026_Prezentacne_zrucnosti.pdf,
EMP0027,BOZP – vstupné školenie,2024-06-24,2026-06-24,Expiring,/sites/HRHub/Certificates/EMP0027_BOZP_-_vstupne_skolenie.pdf,
